id;id_producto;peso;descripcion
0;984;62;Sin descripcion
0;2742;79;Sin descripcion
2;2644;38;Sin descripcion
0;1827;69;Sin descripcion
0;3164;51;Sin descripcion
3;1650;97;Sin descripcion
2;442;18;Fragil
0;3411;44;Fragil
2;3575;37;Fragil
2;1937;75;Fragil
1;3367;14;Sin descripcion
1;988;107;Fragil
1;3162;28;Sin descripcion
1;637;78;Sin descripcion
3;2068;16;Sin descripcion
0;3077;105;Sin descripcion
2;3453;11;Sin descripcion
3;1590;43;Sin descripcion
1;3545;14;Sin descripcion
0;2055;12;Sin descripcion
0;449;84;Fragil
1;3717;69;Fragil
3;2237;38;Fragil
3;708;99;Sin descripcion
0;582;55;Sin descripcion
2;1676;44;Sin descripcion
2;3033;48;Fragil
2;3561;99;Fragil
3;2715;66;Fragil
0;3609;58;Sin descripcion
3;3658;108;Fragil
0;1511;41;Sin descripcion
2;311;54;Fragil
1;3423;70;Sin descripcion
1;2060;95;Fragil
2;2815;41;Fragil
0;1372;24;Sin descripcion
2;1124;24;Sin descripcion
0;3570;80;Fragil
2;2574;71;Sin descripcion
3;826;63;Sin descripcion
3;3418;14;Fragil
0;3622;67;Fragil
1;3524;87;Sin descripcion
3;1221;31;Sin descripcion
2;3453;11;Sin descripcion
1;93;37;Sin descripcion
0;2911;99;Sin descripcion
1;55;10;Fragil
0;2827;68;Sin descripcion
3;688;44;Sin descripcion
2;1600;23;Sin descripcion
2;1557;64;Sin descripcion
0;2717;17;Sin descripcion
0;2271;50;Fragil
1;1664;24;Fragil
0;2194;100;Fragil
0;3424;14;Sin descripcion
2;460;78;Fragil
2;1726;40;Fragil
2;3517;93;Fragil
2;2544;99;Fragil
4;961;60;Fragil
0;3573;26;Sin descripcion
1;3452;107;Fragil
1;2964;21;Sin descripcion
0;1206;59;Fragil
0;3250;105;Fragil
0;2;97;Fragil
2;2859;80;Sin descripcion
3;3048;74;Fragil
0;1648;47;Sin descripcion
3;1474;91;Sin descripcion
0;2967;67;Sin descripcion
1;3182;58;Sin descripcion
2;93;83;Sin descripcion
1;3100;21;Fragil
1;166;104;Sin descripcion
3;2232;52;Sin descripcion
1;1926;73;Fragil
1;1134;73;Fragil
0;2749;79;Fragil
1;598;29;Sin descripcion
0;2660;36;Sin descripcion
0;1665;100;Fragil
0;3506;18;Fragil
1;1770;54;Sin descripcion
0;2806;31;Sin descripcion
0;3555;53;Fragil
4;3077;77;Fragil
0;3516;106;Fragil
1;1597;59;Sin descripcion
1;625;11;Sin descripcion
0;630;45;Fragil
1;2053;82;Sin descripcion
0;1368;96;Fragil
1;3206;59;Fragil
2;3572;107;Fragil
0;1859;13;Sin descripcion
3;1871;15;Sin descripcion
2;2826;88;Sin descripcion
2;2108;69;Sin descripcion
0;2995;15;Fragil
2;1751;106;Fragil
4;2826;58;Sin descripcion
1;3153;84;Sin descripcion
1;1707;12;Sin descripcion
0;1574;21;Sin descripcion
1;3139;17;Sin descripcion
1;223;64;Fragil
0;440;102;Fragil
1;3709;74;Sin descripcion
0;3350;32;Sin descripcion
0;2091;29;Sin descripcion
0;3050;10;Fragil
1;549;19;Sin descripcion
3;3182;58;Sin descripcion
0;482;40;Sin descripcion
0;3408;85;Sin descripcion
1;13;14;Sin descripcion
3;260;49;Fragil
2;1533;58;Fragil
0;3436;65;Fragil
0;1704;31;Sin descripcion
3;3324;16;Sin descripcion
3;943;36;Fragil
0;2689;73;Sin descripcion
4;737;103;Fragil
4;3282;103;Fragil
4;2607;81;Sin descripcion
3;3241;84;Sin descripcion
1;3336;45;Fragil
2;2929;22;Fragil
3;2544;96;Fragil
1;3009;49;Fragil
3;298;68;Fragil
2;1361;22;Fragil
0;3447;17;Fragil
0;1502;84;Fragil
1;1709;57;Sin descripcion
2;2117;82;Sin descripcion
1;3168;109;Fragil
1;3727;70;Fragil
0;3539;76;Sin descripcion
0;2684;87;Fragil
0;226;81;Fragil
1;1281;71;Sin descripcion
1;1813;60;Sin descripcion
1;182;91;Sin descripcion
3;1327;57;Fragil
0;42;64;Sin descripcion
1;553;26;Sin descripcion
0;3150;88;Sin descripcion
2;1868;103;Sin descripcion
1;2414;65;Fragil
0;1778;55;Sin descripcion
0;3275;11;Sin descripcion
3;3402;71;Sin descripcion
2;691;40;Fragil
0;2538;72;Fragil
4;2758;47;Sin descripcion
2;3640;82;Sin descripcion
1;3550;84;Fragil
4;3606;56;Fragil
0;2735;16;Fragil
0;2570;61;Fragil
3;182;26;Sin descripcion
0;3223;27;Fragil
2;2760;73;Sin descripcion
2;2784;72;Sin descripcion
0;3524;80;Fragil
0;911;79;Sin descripcion
1;276;53;Sin descripcion
0;359;101;Fragil
0;2907;40;Sin descripcion
1;1853;15;Sin descripcion
0;204;64;Fragil
1;1271;104;Fragil
0;3100;76;Fragil
4;3598;34;Fragil
0;2998;97;Fragil
2;3052;59;Sin descripcion
1;1861;104;Fragil
2;3416;15;Sin descripcion
1;3255;66;Sin descripcion
2;3035;77;Fragil
2;2838;81;Fragil
1;2309;35;Sin descripcion
0;1044;14;Fragil
1;3165;46;Fragil
2;874;21;Sin descripcion
1;3026;34;Sin descripcion
2;3035;77;Fragil
3;2933;77;Fragil
3;3504;30;Fragil
0;494;50;Fragil
1;99;29;Sin descripcion
1;2379;21;Sin descripcion
0;905;95;Fragil
0;0;33;Fragil
2;395;45;Fragil
2;3656;58;Fragil
3;635;90;Fragil
1;1010;89;Sin descripcion
4;3290;14;Fragil
0;3382;69;Sin descripcion
4;455;85;Fragil
2;3006;23;Fragil
1;723;22;Fragil
3;1805;58;Sin descripcion
0;7;61;Fragil
2;779;64;Sin descripcion
3;1485;109;Fragil
2;3647;97;Sin descripcion
0;138;21;Fragil
1;3470;48;Sin descripcion
3;132;94;Fragil
0;1687;63;Sin descripcion
4;1495;66;Sin descripcion
3;3021;97;Sin descripcion
0;3240;44;Sin descripcion
1;846;58;Sin descripcion
0;3429;88;Fragil
0;749;30;Sin descripcion
1;3539;33;Fragil
2;3642;79;Fragil
4;3275;54;Sin descripcion
2;1917;54;Sin descripcion
3;2367;99;Sin descripcion
4;3662;97;Sin descripcion
1;1641;61;Fragil
0;2184;103;Fragil
0;1630;103;Fragil
3;3236;19;Sin descripcion
0;1223;80;Sin descripcion
0;3304;55;Sin descripcion
1;3079;18;Sin descripcion
2;475;16;Sin descripcion
2;2443;100;Fragil
2;621;91;Sin descripcion
0;3118;14;Sin descripcion
2;3320;55;Fragil
3;1284;23;Fragil
0;848;55;Fragil
2;1366;104;Sin descripcion
0;656;98;Sin descripcion
0;2381;37;Fragil
2;3203;95;Sin descripcion
3;3106;52;Sin descripcion
0;1341;73;Fragil
1;747;33;Fragil
3;3302;38;Fragil
3;501;18;Fragil
2;376;54;Sin descripcion
0;2430;31;Sin descripcion
0;2202;45;Fragil
2;1570;57;Fragil
3;788;28;Sin descripcion
1;196;62;Fragil
0;568;106;Fragil
0;729;56;Fragil
1;647;90;Fragil
2;666;74;Fragil
2;3079;22;Sin descripcion
0;3284;24;Fragil
0;3190;41;Sin descripcion
0;2414;60;Fragil
2;1153;17;Fragil
1;2570;75;Sin descripcion
1;3204;102;Fragil
4;1861;98;Sin descripcion
1;2533;37;Sin descripcion
2;3459;88;Fragil
0;472;104;Fragil
0;955;56;Fragil
1;900;10;Fragil
1;329;96;Sin descripcion
2;53;103;Fragil
0;1120;109;Fragil
0;3300;40;Sin descripcion
0;3153;108;Fragil
3;1209;82;Sin descripcion
3;3051;12;Sin descripcion
1;3260;101;Sin descripcion
0;243;93;Fragil
4;1534;23;Fragil
1;3373;32;Sin descripcion
4;3668;75;Sin descripcion
0;3138;44;Fragil
0;473;82;Fragil
0;594;62;Sin descripcion
1;2548;106;Fragil
3;796;109;Fragil
0;3456;89;Fragil
1;3167;66;Fragil
2;3347;85;Sin descripcion
2;1439;15;Fragil
1;1570;83;Fragil
1;3230;58;Fragil
1;304;46;Sin descripcion
0;1237;107;Fragil
1;1791;91;Fragil
1;3433;108;Sin descripcion
0;1638;66;Sin descripcion
1;886;68;Fragil
0;2698;23;Fragil
4;1447;105;Fragil
0;1474;88;Sin descripcion
1;1823;94;Fragil
0;3086;66;Fragil
1;1468;93;Sin descripcion
2;3111;17;Sin descripcion
4;2662;108;Fragil
3;3619;10;Fragil
2;1377;21;Fragil
1;3631;28;Sin descripcion
0;430;52;Fragil
4;1284;74;Sin descripcion
2;1283;13;Sin descripcion
1;3249;108;Fragil
0;3702;59;Sin descripcion
1;3536;42;Sin descripcion
4;35;100;Sin descripcion
1;3351;21;Sin descripcion
0;3432;10;Sin descripcion
1;3447;19;Sin descripcion
2;1198;85;Fragil
3;1900;53;Sin descripcion
1;3385;86;Sin descripcion
2;2819;25;Fragil
0;2763;96;Fragil
3;604;64;Fragil
0;3627;44;Fragil
0;2312;14;Sin descripcion
0;347;54;Fragil
0;3648;95;Fragil
1;651;59;Sin descripcion
1;941;75;Sin descripcion
1;3679;46;Sin descripcion
0;2206;63;Fragil
0;2508;90;Fragil
0;828;100;Sin descripcion
3;1224;15;Fragil
1;1968;102;Fragil
1;1975;66;Fragil
2;3378;26;Sin descripcion
3;1298;78;Fragil
1;3283;28;Fragil
0;1425;52;Fragil
0;116;31;Fragil
4;626;29;Sin descripcion
3;703;62;Fragil
1;3398;89;Sin descripcion
1;178;106;Sin descripcion
2;2549;82;Sin descripcion
2;3462;62;Sin descripcion
2;1261;40;Fragil
1;2404;64;Fragil
3;3601;73;Sin descripcion
4;3288;36;Fragil
0;2413;25;Sin descripcion
0;2750;49;Fragil
2;91;51;Sin descripcion
1;1509;12;Sin descripcion
2;3343;90;Sin descripcion
3;2170;69;Fragil
1;3145;93;Fragil
3;40;10;Sin descripcion
1;344;16;Sin descripcion
0;3711;64;Sin descripcion
0;2099;25;Fragil
0;1529;98;Fragil
1;466;89;Fragil
0;1215;44;Sin descripcion
1;683;109;Sin descripcion
0;1513;35;Sin descripcion
4;1014;41;Sin descripcion
1;835;105;Sin descripcion
2;798;82;Sin descripcion
3;2576;69;Sin descripcion
0;1181;39;Fragil
1;3087;29;Fragil
4;77;82;Fragil
1;2284;58;Fragil
0;966;82;Sin descripcion
1;1818;90;Fragil
0;1146;38;Fragil
4;1217;58;Sin descripcion
3;2295;20;Sin descripcion
1;3117;81;Sin descripcion
3;837;43;Sin descripcion
0;2068;30;Sin descripcion
1;204;48;Sin descripcion
0;383;73;Fragil
3;3496;51;Sin descripcion
1;2543;21;Sin descripcion
4;383;92;Fragil
1;2808;82;Sin descripcion
4;3098;10;Sin descripcion
1;1848;15;Fragil
0;1531;39;Fragil
3;3061;103;Sin descripcion
1;3683;93;Sin descripcion
0;3521;102;Sin descripcion
1;62;54;Sin descripcion
2;3614;100;Sin descripcion
2;2749;40;Fragil
2;1880;100;Sin descripcion
4;2097;13;Sin descripcion
4;1187;104;Fragil
0;1083;73;Sin descripcion
2;3094;41;Sin descripcion
2;3423;53;Fragil
3;3149;48;Sin descripcion
0;3011;40;Sin descripcion
1;1825;59;Fragil
1;2106;14;Fragil
0;1440;34;Fragil
0;1597;36;Sin descripcion
2;2390;22;Sin descripcion
2;362;109;Fragil
1;1030;83;Fragil
0;3478;20;Sin descripcion
1;2864;61;Sin descripcion
0;2280;85;Fragil
3;3175;44;Fragil
1;3072;29;Fragil
3;3055;51;Fragil
0;637;45;Sin descripcion
2;1963;50;Sin descripcion
2;1646;81;Sin descripcion
1;3035;97;Sin descripcion
3;1878;93;Sin descripcion
0;1011;68;Fragil
0;3215;15;Sin descripcion
1;2458;74;Sin descripcion
1;801;44;Fragil
1;2559;105;Sin descripcion
2;2299;88;Fragil
1;1671;63;Sin descripcion
2;1588;84;Sin descripcion
2;743;61;Sin descripcion
1;40;41;Sin descripcion
1;3156;14;Fragil
3;828;14;Fragil
4;3264;94;Sin descripcion
3;3586;77;Sin descripcion
1;2225;107;Fragil
0;1853;89;Sin descripcion
1;3375;46;Fragil
2;3520;92;Sin descripcion
4;496;107;Fragil
3;890;26;Fragil
0;40;17;Sin descripcion
2;301;35;Sin descripcion
1;2234;48;Fragil
2;3354;49;Fragil
1;2491;69;Fragil
2;2920;108;Sin descripcion
2;3497;94;Fragil
0;1407;96;Fragil
2;1951;94;Sin descripcion
1;1060;97;Sin descripcion
3;177;13;Sin descripcion
1;3310;20;Sin descripcion
1;42;54;Sin descripcion
3;1952;21;Sin descripcion
1;3625;102;Sin descripcion
1;334;92;Fragil
0;92;33;Fragil
2;840;43;Sin descripcion
1;2738;15;Sin descripcion
2;3041;56;Sin descripcion
1;1155;105;Sin descripcion
0;1640;40;Fragil
4;3631;95;Sin descripcion
1;611;48;Sin descripcion
2;3552;80;Fragil
1;138;15;Sin descripcion
3;1609;75;Sin descripcion
1;2999;19;Sin descripcion
1;554;19;Fragil
2;192;99;Sin descripcion
0;2872;14;Fragil
2;3282;77;Fragil
1;19;14;Sin descripcion
0;3045;74;Fragil
1;1039;101;Sin descripcion
1;2716;103;Fragil
3;341;95;Sin descripcion
1;2473;83;Sin descripcion
3;1935;72;Fragil
1;1426;28;Fragil
0;2143;82;Fragil
2;3624;85;Fragil
2;3276;56;Fragil
0;2023;20;Sin descripcion
1;3207;16;Sin descripcion
3;2465;21;Fragil
0;1139;52;Sin descripcion
0;3484;54;Sin descripcion
3;250;66;Fragil
3;3413;56;Sin descripcion
2;3297;54;Fragil
1;1616;20;Sin descripcion
0;1477;80;Sin descripcion
2;3275;75;Fragil
3;2585;103;Sin descripcion
0;2953;71;Sin descripcion
0;79;46;Sin descripcion
0;3264;81;Sin descripcion
1;616;59;Sin descripcion
0;3387;109;Fragil
2;1834;42;Sin descripcion
4;3428;61;Sin descripcion
1;3172;106;Fragil
3;308;93;Sin descripcion
0;3573;26;Sin descripcion
0;3155;59;Fragil
2;605;30;Fragil
0;3583;88;Sin descripcion
1;3136;47;Sin descripcion
0;132;36;Fragil
1;354;27;Fragil
0;1020;72;Fragil
1;792;51;Sin descripcion
2;73;102;Fragil
1;816;61;Sin descripcion
0;2260;90;Sin descripcion
3;3085;23;Sin descripcion
1;2867;26;Sin descripcion
0;2846;73;Sin descripcion
4;3477;107;Fragil
3;3084;71;Sin descripcion
4;589;13;Fragil
3;2492;37;Sin descripcion
0;3448;41;Sin descripcion
2;574;72;Fragil
3;1174;79;Sin descripcion
1;345;33;Sin descripcion
1;2957;93;Sin descripcion
3;3335;65;Fragil
0;797;93;Sin descripcion
0;395;13;Fragil
2;3148;32;Sin descripcion
1;1748;76;Fragil
4;2090;14;Sin descripcion
0;3360;50;Sin descripcion
1;3325;75;Sin descripcion
0;3110;22;Fragil
1;110;92;Sin descripcion
0;2593;10;Fragil
1;1168;18;Sin descripcion
1;358;75;Fragil
0;1271;73;Fragil
1;3497;109;Fragil
1;1116;98;Sin descripcion
1;2524;21;Fragil
0;1811;107;Fragil
0;2722;46;Sin descripcion
4;3334;98;Fragil
0;1451;16;Fragil
1;3129;17;Fragil
0;3324;28;Sin descripcion
1;3700;90;Fragil
0;1414;64;Sin descripcion
1;2084;82;Sin descripcion
0;2358;38;Sin descripcion
0;293;90;Sin descripcion
3;1021;88;Fragil
2;959;44;Fragil
0;2952;48;Fragil
2;1902;70;Fragil
1;3202;78;Fragil
1;1726;35;Fragil
1;210;47;Sin descripcion
3;664;98;Sin descripcion
4;583;43;Sin descripcion
1;3089;52;Fragil
0;1034;17;Fragil
2;2556;10;Sin descripcion
0;524;75;Sin descripcion
1;3137;18;Fragil
1;113;34;Sin descripcion
4;1487;11;Fragil
0;3265;88;Sin descripcion
1;3560;62;Sin descripcion
1;2092;32;Fragil
0;1560;39;Sin descripcion
0;2179;63;Sin descripcion
2;2024;102;Fragil
1;158;96;Fragil
1;2895;81;Sin descripcion
0;1371;32;Sin descripcion
0;266;85;Fragil
2;3436;26;Sin descripcion
2;2010;88;Fragil
0;3489;94;Fragil
4;3287;93;Sin descripcion
0;1885;103;Sin descripcion
0;2713;12;Fragil
1;930;66;Fragil
1;1092;106;Sin descripcion
4;2376;104;Fragil
1;697;91;Sin descripcion
0;2531;99;Sin descripcion
1;1904;105;Fragil
1;1112;54;Fragil
2;96;49;Fragil
1;3705;27;Sin descripcion
1;1561;21;Sin descripcion
2;3031;22;Sin descripcion
1;1684;36;Fragil
0;3175;21;Sin descripcion
0;1766;58;Fragil
1;3624;22;Sin descripcion
1;1572;10;Fragil
0;2496;16;Fragil
0;1196;63;Fragil
0;1217;38;Sin descripcion
1;474;106;Sin descripcion
0;3177;21;Fragil
3;212;108;Fragil
3;192;27;Fragil
0;3023;56;Sin descripcion
0;3435;45;Fragil
0;2518;34;Sin descripcion
0;3255;42;Fragil
3;765;101;Sin descripcion
0;3167;35;Fragil
2;3610;101;Fragil
1;2488;100;Fragil
1;2078;93;Fragil
0;201;58;Sin descripcion
2;3623;14;Sin descripcion
4;3239;57;Fragil
1;2411;103;Fragil
3;655;63;Fragil
1;3134;39;Fragil
2;3297;54;Fragil
1;594;104;Fragil
1;1885;63;Fragil
2;3078;77;Sin descripcion
1;2507;101;Fragil
0;2013;46;Fragil
2;1239;21;Fragil
0;1241;10;Sin descripcion
0;3533;17;Sin descripcion
2;100;26;Sin descripcion
3;1799;90;Fragil
0;1755;27;Fragil
2;2196;78;Sin descripcion
0;94;11;Fragil
0;3626;70;Fragil
3;696;97;Fragil
0;1803;89;Fragil
0;2059;76;Fragil
3;3020;22;Sin descripcion
1;1321;13;Fragil
3;3083;97;Fragil
0;1856;40;Sin descripcion
3;288;63;Sin descripcion
3;1817;43;Fragil
0;1791;23;Sin descripcion
3;2450;108;Fragil
0;3051;104;Sin descripcion
1;3375;46;Fragil
4;3535;68;Fragil
1;1919;27;Sin descripcion
0;2038;105;Fragil
1;3498;97;Sin descripcion
4;3104;27;Sin descripcion
0;3169;71;Sin descripcion
0;38;28;Sin descripcion
2;1125;22;Fragil
0;484;38;Fragil
3;3688;47;Fragil
1;1701;107;Sin descripcion
1;351;75;Sin descripcion
3;697;68;Fragil
1;1227;33;Fragil
1;3051;59;Sin descripcion
4;3050;52;Fragil
0;3589;45;Fragil
2;1643;86;Fragil
1;3172;106;Fragil
2;3471;14;Sin descripcion
2;1825;106;Fragil
3;421;46;Sin descripcion
2;3654;36;Sin descripcion
0;3282;79;Sin descripcion
1;1447;101;Sin descripcion
1;1594;45;Fragil
0;2249;85;Sin descripcion
0;2690;88;Fragil
0;2685;69;Sin descripcion
4;2788;48;Sin descripcion
0;3207;97;Fragil
4;1676;94;Sin descripcion
1;3105;45;Fragil
3;3342;103;Sin descripcion
0;601;55;Fragil
2;3040;45;Sin descripcion
0;1483;92;Fragil
0;3617;55;Sin descripcion
1;3396;90;Fragil
0;1906;10;Fragil
4;341;48;Sin descripcion
0;1335;11;Fragil
3;1457;35;Fragil
0;54;66;Sin descripcion
0;3427;61;Sin descripcion
2;3643;66;Sin descripcion
